alert_date,drug_ingredient,event_category,source_type,citation,notes
2004-09-30,rofecoxib,cardiovascular,fda_dsc,"Merck voluntary withdrawal of Vioxx; FDA Public Health Advisory 2004-09-30",Landmark cardiovascular safety withdrawal
2005-04-07,valdecoxib,cardiovascular_skin,fda_dsc,"FDA Public Health Advisory 2005-04-07 on Bextra (valdecoxib)",Withdrawn for CV + severe skin reactions
2005-04-07,celecoxib,cardiovascular,fda_dsc,"FDA boxed-warning revision 2005-04-07 (Celebrex cardiovascular class warning)",Class-wide COX-2 warning
2000-03-23,cisapride,qt_arrhythmia,fda_dsc,"Janssen withdrawal of Propulsid (cisapride) 2000-03-23 after QT-prolongation arrhythmia deaths",Pre-2004 limit of our window
2001-08-08,cerivastatin,rhabdomyolysis,fda_dsc,"Bayer voluntary withdrawal of Baycol 2001-08-08 for rhabdomyolysis deaths","Pre-2004; included for completeness"
2008-07-08,levofloxacin,tendon_rupture,fda_dsc,"FDA Drug Safety Communication 2008-07-08 — fluoroquinolone tendon rupture boxed warning (class)","Class warning applies to ciprofloxacin, levofloxacin, moxifloxacin, etc."
2008-07-08,ciprofloxacin,tendon_rupture,fda_dsc,"Same class warning as levofloxacin 2008-07-08 fluoroquinolone tendon-rupture boxed warning",Class warning
2008-07-08,moxifloxacin,tendon_rupture,fda_dsc,"Same class warning as levofloxacin 2008-07-08 fluoroquinolone tendon-rupture boxed warning",Class warning
2018-12-20,levofloxacin,aortic_dissection,fda_dsc,"FDA Drug Safety Communication 2018-12-20 — fluoroquinolone aortic-aneurysm/dissection class warning",Class warning
2018-12-20,ciprofloxacin,aortic_dissection,fda_dsc,"Same class warning as levofloxacin 2018-12-20",Class warning
2011-06-15,pioglitazone,bladder_cancer,fda_dsc,"FDA Drug Safety Communication 2011-06-15 on Actos (pioglitazone) bladder cancer signal",Triggered Actos MDL
2007-09-25,rosiglitazone,cardiovascular,fda_dsc,"FDA Public Health Advisory 2007-09-25 on Avandia (rosiglitazone) cardiovascular risk",Triggered Avandia MDL
2002-06-19,nefazodone,hepatic_failure,fda_dsc,"Bristol-Myers Squibb hepatic-failure boxed warning on Serzone (nefazodone) 2002-01-08; FDA Talk Paper 2002",Drug eventually withdrawn 2004
2004-10-15,paroxetine,suicidality_youth,fda_dsc,"FDA Public Health Advisory 2004-10-15 — SSRI class suicidality boxed warning (youth)","Class warning across SSRIs"
2004-10-15,fluoxetine,suicidality_youth,fda_dsc,"Same class warning as paroxetine 2004-10-15",Class warning
2004-10-15,sertraline,suicidality_youth,fda_dsc,"Same class warning as paroxetine 2004-10-15",Class warning
2004-10-15,citalopram,suicidality_youth,fda_dsc,"Same class warning as paroxetine 2004-10-15",Class warning
2007-05-02,paroxetine,suicidality_adults,fda_dsc,"FDA Public Health Advisory 2007-05-02 — SSRI class suicidality warning extended to young adults",Class warning extension
2009-01-13,acetaminophen,hepatic_failure,fda_dsc,"FDA Drug Safety Communication 2009-01-13 on acetaminophen hepatotoxicity / dose limits",Substantive media coverage 2011
